id;topic;learned_date;jhi_key;comment;creation_date;modified_date
1;grave usable;2024-01-30T08:30:17;phooey identical queasily;cleaner;2024-01-30T18:16:48;2024-01-30T04:47:56
2;after;2024-01-30T07:11:56;amongst or;amongst;2024-01-30T05:40:54;2024-01-30T18:57:47
3;secrecy rosy duh;2024-01-30T01:58:56;stew;wealthy astride;2024-01-30T05:52:31;2024-01-29T23:18:33
4;bah rightfully;2024-01-30T07:28:05;loyally;as mediocre;2024-01-30T13:44:43;2024-01-29T20:44:19
5;wearily;2024-01-30T02:15:11;piccolo stipple;now;2024-01-30T09:40:48;2024-01-29T20:47:33
6;kissingly repair;2024-01-30T16:51:52;yoga whoa pish;pfft;2024-01-30T09:45:01;2024-01-30T11:25:25
7;drat a under;2024-01-30T02:00:43;president across;ex-husband;2024-01-30T04:18:05;2024-01-30T18:38:47
8;vacant;2024-01-30T01:28:59;approval;edible;2024-01-30T07:40:43;2024-01-30T05:04:58
9;oblong though;2024-01-29T22:52:08;under physically twin;behind fruitful among;2024-01-30T06:58:17;2024-01-30T09:22:33
10;coaxingly;2024-01-30T03:10:44;stencil;shopper ouch whoever;2024-01-30T12:29:37;2024-01-30T18:57:35
